,HP1,HP2,HP3,TW,SW1,SW2,SW3
0,3.0,2.0,2.0,5.0,2.0,,3.0
1,3.0,5.0,1.0,2.0,5.0,3.0,5.0
2,,4.0,4.0,2.0,5.0,5.0,2.0
3,4.0,3.0,,5.0,2.0,4.0,
4,2.0,4.0,5.0,1.0,3.0,2.0,4.0
5,,,1.0,,5.0,5.0,2.0
6,2.0,4.0,2.0,5.0,2.0,,1.0
7,3.0,1.0,2.0,5.0,2.0,3.0,5.0
8,4.0,5.0,4.0,4.0,,3.0,1.0
9,,4.0,1.0,3.0,2.0,5.0,5.0
10,3.0,2.0,1.0,4.0,,4.0,4.0
11,1.0,1.0,1.0,5.0,3.0,5.0,1.0
12,4.0,3.0,1.0,2.0,4.0,4.0,4.0
13,1.0,2.0,,,3.0,4.0,2.0
14,,5.0,4.0,2.0,3.0,1.0,
15,5.0,4.0,1.0,1.0,2.0,,3.0
16,1.0,,2.0,,4.0,,3.0
17,4.0,,3.0,4.0,3.0,5.0,5.0
18,4.0,2.0,2.0,4.0,4.0,,4.0
19,5.0,2.0,,,3.0,3.0,
20,1.0,,4.0,,1.0,5.0,2.0
21,3.0,2.0,4.0,2.0,1.0,3.0,
22,4.0,1.0,2.0,3.0,4.0,3.0,4.0
23,4.0,2.0,1.0,2.0,3.0,,
24,2.0,,,1.0,3.0,5.0,5.0
25,1.0,3.0,,4.0,2.0,5.0,5.0
26,,5.0,2.0,,2.0,1.0,
27,2.0,5.0,,4.0,,,
28,4.0,2.0,3.0,,1.0,5.0,4.0
29,5.0,5.0,1.0,2.0,5.0,5.0,
30,5.0,2.0,5.0,4.0,5.0,,
31,1.0,3.0,1.0,3.0,,,5.0
32,4.0,1.0,,,2.0,2.0,3.0
33,3.0,3.0,3.0,2.0,1.0,5.0,4.0
34,5.0,2.0,1.0,4.0,1.0,,5.0
35,5.0,,,4.0,1.0,2.0,
36,2.0,3.0,2.0,1.0,1.0,4.0,3.0
37,5.0,5.0,1.0,5.0,,,2.0
38,2.0,1.0,4.0,3.0,,2.0,
39,1.0,4.0,3.0,,5.0,1.0,1.0
40,4.0,,3.0,2.0,3.0,2.0,2.0
41,1.0,1.0,5.0,5.0,5.0,,3.0
42,3.0,5.0,2.0,,,,1.0
43,4.0,4.0,1.0,2.0,,2.0,
44,1.0,5.0,5.0,,4.0,5.0,4.0
45,,3.0,2.0,5.0,1.0,5.0,5.0
46,4.0,4.0,3.0,2.0,1.0,4.0,5.0
47,,5.0,,3.0,5.0,4.0,5.0
48,4.0,,,4.0,,3.0,5.0
49,,,2.0,,3.0,4.0,3.0
50,3.0,3.0,1.0,2.0,5.0,1.0,
51,,,3.0,2.0,2.0,2.0,1.0
52,1.0,1.0,,1.0,5.0,4.0,2.0
53,2.0,4.0,1.0,4.0,,2.0,4.0
54,,2.0,2.0,3.0,3.0,4.0,5.0
55,5.0,5.0,5.0,1.0,3.0,3.0,5.0
56,1.0,4.0,5.0,2.0,1.0,3.0,
